book_id,title,author,isbn,category,copies
453,The Hobbit,Yuval Noah Harari,639-9247,Science,96
454,The Hobbit,Paulo Coelho,679-7967,Science,53
455,The Alchemist,F. Scott Fitzgerald,751-3386,Dystopian,93
456,The Catcher in the Rye,Stephen Hawking,119-3540,Romance,24
457,1984,George Orwell,349-8343,Thriller,69
458,1984,George Orwell,861-3279,Biography,90
459,Harry Potter,J.D. Salinger,496-2821,Biography,78
460,To Kill a Mockingbird,Yuval Noah Harari,151-1365,History,40
461,The Great Gatsby,J.K. Rowling,711-2050,Fantasy,41
462,Sapiens,Paulo Coelho,572-3827,Fiction,62
463,Harry Potter,J.D. Salinger,105-1049,Classic,46
464,The Catcher in the Rye,Stephen Hawking,549-9362,Dystopian,83
465,Harry Potter,George Orwell,512-8153,Fiction,21
466,The Theory of Everything,J.D. Salinger,582-3493,Fantasy,85
467,Harry Potter,Yuval Noah Harari,463-3074,Science,18
468,Harry Potter,Dan Brown,807-1521,Classic,94
469,Sapiens,F. Scott Fitzgerald,628-7122,Biography,11
470,The Catcher in the Rye,J.K. Rowling,551-1847,Science,81
471,Harry Potter,Paulo Coelho,286-5718,Romance,69
472,The Theory of Everything,J.D. Salinger,101-9217,Classic,76
473,The Alchemist,Harper Lee,160-7927,History,82
474,The Great Gatsby,Stephen Hawking,376-5866,Thriller,13
475,To Kill a Mockingbird,F. Scott Fitzgerald,855-6641,Romance,50
476,The Great Gatsby,J.R.R. Tolkien,688-6892,Thriller,33
477,The Hobbit,F. Scott Fitzgerald,940-2042,Fiction,17
478,Harry Potter,George Orwell,161-2770,Thriller,100
479,The Da Vinci Code,J.R.R. Tolkien,369-9149,Biography,10
480,Harry Potter,Harper Lee,155-7664,Philosophy,92
481,To Kill a Mockingbird,J.K. Rowling,235-4844,Fiction,30
482,Sapiens,J.K. Rowling,157-7198,History,85
483,The Da Vinci Code,Paulo Coelho,721-7842,Fantasy,42
484,The Hobbit,J.R.R. Tolkien,270-6766,Thriller,31
485,Sapiens,J.K. Rowling,207-5395,Dystopian,12
486,Sapiens,Stephen Hawking,179-7878,Classic,43
487,The Da Vinci Code,J.K. Rowling,772-5431,Thriller,30
488,Harry Potter,George Orwell,283-9463,Dystopian,16
489,To Kill a Mockingbird,F. Scott Fitzgerald,253-9718,Fantasy,88
490,The Catcher in the Rye,Yuval Noah Harari,345-2345,Romance,49
491,Sapiens,George Orwell,887-8655,History,87
492,The Hobbit,J.R.R. Tolkien,495-5811,Philosophy,97
493,The Da Vinci Code,J.R.R. Tolkien,904-2171,Fantasy,69
494,To Kill a Mockingbird,J.K. Rowling,647-7170,Fiction,89
495,The Alchemist,Harper Lee,559-1058,Romance,85
496,1984,Harper Lee,238-5635,Philosophy,63
497,To Kill a Mockingbird,Stephen Hawking,436-6649,Classic,15
498,Sapiens,Dan Brown,823-5831,Romance,50
499,The Catcher in the Rye,Harper Lee,310-7599,Dystopian,81
500,The Da Vinci Code,J.R.R. Tolkien,322-9795,Biography,96
